id,x,y,z,qx,qy,qz,qw
1411,-20.9329,216.27,-6.52488,-0.0177753,0.00393993,-0.338324,0.940853
1412,-17.9617,213.22,-6.48077,-0.0181776,0.00212547,-0.433482,0.900976
1413,-15.948,209.489,-6.39769,-0.0154167,-0.00197527,-0.598438,0.801018
1414,-15.7609,205.501,-6.27869,-0.00970189,-0.00593186,-0.764663,0.644329
1415,-17.2698,201.62,-6.18213,-0.0135605,-0.0132958,-0.858801,0.511955
1416,-19.4998,198.184,-6.01409,0.0079459,0.013756,0.880825,-0.473176
1417,-22.0185,194.68,-5.8823,0.0094301,0.0153933,0.887601,-0.460261
1418,-24.3732,191.454,-5.73247,0.010233,0.0146836,0.883998,-0.467147
1419,-26.7307,188.076,-5.59005,0.00593844,0.0112624,0.877878,-0.478714
1420,-29.0828,184.535,-5.50527,0.00240432,0.00743713,0.875806,-0.4826
1421,-31.4949,180.938,-5.4491,0.00231881,0.00601002,0.878521,-0.477661
1422,-33.8374,177.519,-5.39301,0.00240439,0.00772304,0.878477,-0.477716
1423,-36.2846,173.875,-5.32996,0.00547638,0.00411318,0.877573,-0.479394
1424,-38.5839,170.442,-5.25914,0.0133391,0.0060912,0.876879,-0.480488
1425,-40.8021,167.114,-5.13939,0.0101263,0.00545032,0.875678,-0.482759
1426,-43.1086,163.611,-5.01981,0.00905902,0.00732219,0.87426,-0.485318
1427,-45.3085,160.223,-4.89779,0.00952259,0.00659157,0.872399,-0.488656
1428,-47.6126,156.623,-4.77425,0.00139497,0.00388348,0.871289,-0.490753
1429,-49.7753,153.219,-4.74183,-0.000854607,0.00364296,0.870483,-0.492185
1430,-51.92,149.812,-4.73235,-0.000879554,0.00311973,0.869584,-0.493774
1431,-54.1281,146.298,-4.70812,-0.00108019,0.0049735,0.870874,-0.491481
1432,-56.4401,142.685,-4.68328,0.00399839,-0.00517267,0.884569,-0.466364
1433,-59.1923,139.331,-4.64557,0.00885563,0.000552555,0.924244,-0.381699
1434,-62.6339,136.948,-4.57432,0.00581589,0.00377451,0.975977,-0.217765
1435,-66.7036,135.889,-4.53863,0.00135148,-0.00231214,0.999185,-0.0402751
1436,-70.6759,136.281,-4.53423,-0.00576293,0.00260619,0.992492,0.12214
1437,-74.5306,137.916,-4.62433,-0.0194349,0.0080984,0.970125,0.241693
1438,-77.9288,140.036,-4.77729,-0.0121338,0.0104431,0.961314,0.274986
1439,-81.3708,142.356,-4.88548,-0.0127472,0.00986725,0.958688,0.284003
1440,-84.8219,144.735,-4.98996,-0.00967962,0.0114207,0.957716,0.287325
1441,-88.2668,147.089,-5.07569,-0.0107586,0.0069739,0.958378,0.285217
